pickup,dropoff,passengers,distance,fare,tip,tolls,total,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-16 18:42:36,2019-03-16 19:00:21,2,1.4,12.0,0.0,0.0,15.3,cash,Union Sq,Murray Hill,Manhattan,Manhattan
2019-03-25 12:43:06,2019-03-25 12:54:39,1,1.5,9.0,3.08,0.0,15.38,credit card,Penn Station/Madison Sq West,Meatpacking/West Village West,Manhattan,Manhattan
2019-03-01 20:34:51,2019-03-01 20:51:27,1,2.5,12.5,3.25,0.0,19.55,credit card,Midtown East,Greenwich Village South,Manhattan,Manhattan
2019-03-10 19:25:41,2019-03-10 19:29:38,1,0.8,5.0,1.65,0.0,9.95,credit card,East Village,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-19 15:19:14,2019-03-19 15:27:57,1,1.94,9.0,0.0,0.0,9.8,cash,East Harlem South,East Harlem North,Manhattan,Manhattan
2019-03-23 11:27:22,2019-03-23 11:42:34,3,2.36,11.5,1.0,0.0,15.8,credit card,Clinton East,Gramercy,Manhattan,Manhattan
2019-03-23 17:41:45,2019-03-23 17:41:50,1,0.0,64.0,4.0,0.0,68.3,credit card,JFK Airport,JFK Airport,Queens,Queens
2019-03-13 10:44:36,2019-03-13 10:57:36,1,1.1,9.5,0.0,0.0,12.8,cash,Upper East Side North,Upper East Side South,Manhattan,Manhattan
2019-03-01 16:12:31,2019-03-01 16:17:56,1,0.67,5.0,0.0,0.0,9.3,cash,Upper East Side North,Central Park,Manhattan,Manhattan
2019-03-02 15:50:18,2019-03-02 16:05:47,1,3.36,13.5,3.36,0.0,20.16,credit card,Meatpacking/West Village West,Lincoln Square West,Manhattan,Manhattan
2019-03-26 20:16:03,2019-03-26 20:27:37,2,4.29,14.5,0.0,0.0,18.3,cash,World Trade Center,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
2019-03-23 14:34:09,2019-03-23 14:36:41,1,0.69,4.0,0.0,0.0,4.8,cash,Manhattan Valley,Bloomingdale,Manhattan,Manhattan
2019-03-31 11:02:00,2019-03-31 11:24:42,1,4.96,20.0,4.66,0.0,27.96,credit card,Yorkville West,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-30 16:31:06,2019-03-30 16:56:01,1,1.9,15.5,1.0,0.0,19.8,credit card,West Chelsea/Hudson Yards,Midtown North,Manhattan,Manhattan
2019-03-08 14:50:09,2019-03-08 14:53:09,1,0.4,4.0,1.45,0.0,8.75,credit card,,Upper East Side North,,Manhattan
2019-03-24 21:52:07,2019-03-24 21:53:20,1,0.08,3.0,0.0,0.0,6.8,cash,Garment District,Garment District,Manhattan,Manhattan
2019-03-11 12:54:12,2019-03-11 13:09:22,1,2.09,11.0,2.86,0.0,17.16,credit card,Penn Station/Madison Sq West,SoHo,Manhattan,Manhattan
2019-03-05 18:41:45,2019-03-05 18:49:39,1,0.73,6.5,2.16,0.0,12.96,credit card,West Village,Greenwich Village North,Manhattan,Manhattan
2019-03-27 16:54:45,2019-03-27 17:02:18,1,1.16,7.0,2.26,0.0,13.56,credit card,Upper East Side South,Lenox Hill East,Manhattan,Manhattan
2019-03-24 07:34:45,2019-03-24 07:38:28,3,1.21,5.5,1.76,0.0,10.56,credit card,Lincoln Square East,Midtown East,Manhattan,Manhattan
2019-03-19 20:01:28,2019-03-19 20:17:14,1,6.3,20.0,4.75,0.0,28.55,credit card,Financial District South,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019-03-12 21:54:20,2019-03-12 22:07:29,1,2.4,11.0,3.5,0.0,18.3,credit card,East Village,Midtown Center,Manhattan,Manhattan
2019-03-24 06:24:19,2019-03-24 06:26:23,1,0.0,50.0,10.16,0.0,60.96,credit card,Belmont,,Bronx,
2019-03-16 00:21:32,2019-03-16 00:46:45,3,5.52,21.0,3.72,0.0,28.52,credit card,West Village,Bloomingdale,Manhattan,Manhattan
2019-03-31 18:57:07,2019-03-31 19:07:29,1,1.54,9.0,0.0,0.0,12.3,cash,Clinton East,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-15 18:00:53,2019-03-15 18:37:01,2,8.33,28.5,6.56,0.0,39.36,credit card,Flatiron,Mott Haven/Port Morris,Manhattan,Bronx
2019-03-20 17:56:45,2019-03-20 18:17:06,1,6.7,22.0,0.0,5.76,29.56,credit card,Windsor Terrace,Financial District North,Brooklyn,Manhattan
2019-03-17 00:44:26,2019-03-17 00:49:01,1,0.8,5.5,1.0,0.0,7.8,credit card,,,,
2019-03-21 19:21:35,2019-03-21 19:30:16,3,1.75,8.5,2.0,0.0,14.8,credit card,Sutton Place/Turtle Bay North,Yorkville West,Manhattan,Manhattan
2019-03-12 22:07:11,2019-03-12 22:16:01,1,1.84,8.5,0.0,0.0,12.3,cash,Yorkville West,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019-03-01 12:53:45,2019-03-01 13:42:42,2,22.23,52.0,12.21,5.76,73.27,credit card,JFK Airport,Battery Park City,Queens,Manhattan
2019-03-23 12:37:34,2019-03-23 13:14:26,1,19.4,52.0,12.2,5.76,73.26,credit card,JFK Airport,Midtown South,Queens,Manhattan
2019-03-13 08:12:49,2019-03-13 08:26:05,1,2.0,10.5,2.76,0.0,16.56,credit card,Upper East Side North,Midtown East,Manhattan,Manhattan
2019-03-02 08:42:34,2019-03-02 08:45:53,1,0.8,4.5,1.95,0.0,9.75,credit card,East Harlem South,Yorkville West,Manhattan,Manhattan
2019-03-17 13:27:53,2019-03-17 13:34:27,1,0.8,6.0,0.0,0.0,9.3,cash,Times Sq/Theatre District,Clinton East,Manhattan,Manhattan
2019-03-15 16:44:15,2019-03-15 16:56:35,2,0.66,8.5,0.0,0.0,12.8,cash,Little Italy/NoLiTa,Chinatown,Manhattan,Manhattan
2019-03-04 00:32:53,2019-03-04 00:35:54,1,0.41,4.0,0.0,0.0,7.8,cash,Clinton East,Garment District,Manhattan,Manhattan
2019-03-15 01:25:10,2019-03-15 01:58:50,1,11.25,36.0,9.11,5.76,54.67,credit card,East Chelsea,Stuyvesant Heights,Manhattan,Brooklyn
2019-03-14 12:55:10,2019-03-14 13:12:54,2,2.62,13.5,3.36,0.0,20.16,credit card,Times Sq/Theatre District,Upper East Side North,Manhattan,Manhattan
2019-03-27 08:29:15,2019-03-27 08:40:07,1,1.26,8.0,0.0,0.0,11.3,cash,Midtown East,Midtown North,Manhattan,Manhattan
2019-03-04 18:47:24,2019-03-04 18:56:11,2,1.27,7.5,0.0,0.0,11.8,cash,East Village,Two Bridges/Seward Park,Manhattan,Manhattan
2019-03-30 19:38:39,2019-03-30 19:42:47,1,0.9,5.5,1.25,0.0,7.55,credit card,Morningside Heights,Upper West Side North,Manhattan,Manhattan
2019-03-13 16:31:04,2019-03-13 16:42:17,1,1.0,8.5,2.55,0.0,15.35,credit card,Upper East Side North,Lenox Hill East,Manhattan,Manhattan
2019-03-01 09:19:25,2019-03-01 09:22:12,1,0.5,4.0,1.46,0.0,8.76,credit card,Upper East Side North,Upper East Side North,Manhattan,Manhattan
2019-03-19 09:17:10,2019-03-19 09:38:15,1,2.33,14.5,0.0,0.0,17.8,cash,Midtown Center,Lenox Hill East,Manhattan,Manhattan
2019-03-19 07:08:36,2019-03-19 07:13:53,1,1.09,6.0,1.0,0.0,10.3,credit card,Lincoln Square East,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-20 23:21:39,2019-03-20 23:42:39,1,3.49,16.5,2.0,0.0,22.3,credit card,TriBeCa/Civic Center,Clinton Hill,Manhattan,Brooklyn
2019-03-09 18:36:33,2019-03-09 18:59:28,1,3.83,17.5,4.16,0.0,24.96,credit card,Garment District,Central Harlem,Manhattan,Manhattan
2019-03-26 14:32:57,2019-03-26 14:46:49,1,1.7,10.5,2.07,0.0,15.87,credit card,West Village,Gramercy,Manhattan,Manhattan
2019-03-20 07:10:27,2019-03-20 07:20:09,1,1.6,8.5,2.35,0.0,14.15,credit card,Lenox Hill East,Midtown South,Manhattan,Manhattan
2019-03-08 12:33:26,2019-03-08 12:40:14,1,0.9,6.5,1.0,0.0,10.8,credit card,Seaport,Financial District South,Manhattan,Manhattan
2019-03-01 16:49:21,2019-03-01 16:53:34,1,0.5,5.0,1.9,0.0,11.2,credit card,Central Park,Upper West Side South,Manhattan,Manhattan
2019-03-16 22:57:12,2019-03-16 23:15:49,1,3.76,15.0,2.0,0.0,20.8,credit card,Union Sq,Lenox Hill East,Manhattan,Manhattan
2019-03-20 00:50:42,2019-03-20 01:18:32,1,7.6,25.0,5.75,0.0,34.55,credit card,East Village,Morningside Heights,Manhattan,Manhattan
2019-03-28 07:35:44,2019-03-28 07:45:46,1,1.86,9.0,1.0,0.0,13.3,credit card,Union Sq,Midtown Center,Manhattan,Manhattan
2019-03-20 23:22:23,2019-03-20 23:28:20,1,1.0,6.0,1.95,0.0,11.75,credit card,Gramercy,Midtown South,Manhattan,Manhattan
2019-03-29 14:51:16,2019-03-29 14:56:53,1,1.1,6.0,2.3,0.0,11.6,credit card,Sutton Place/Turtle Bay North,Upper East Side South,Manhattan,Manhattan
2019-03-31 03:43:11,2019-03-31 03:58:22,1,4.85,15.5,3.86,0.0,23.16,credit card,Greenwich Village North,East Harlem South,Manhattan,Manhattan
2019-03-25 19:45:22,2019-03-25 19:48:24,1,0.65,4.5,1.76,0.0,10.56,credit card,Midtown South,Union Sq,Manhattan,Manhattan
2019-03-20 17:38:59,2019-03-20 17:41:55,1,0.5,4.0,0.0,0.0,8.3,cash,East Village,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
2019-03-10 01:56:30,2019-03-10 01:59:51,1,0.57,4.5,0.0,0.0,8.3,credit card,TriBeCa/Civic Center,Hudson Sq,Manhattan,Manhattan
2019-03-03 14:37:55,2019-03-03 14:48:30,1,1.6,8.5,0.0,0.0,11.8,cash,Penn Station/Madison Sq West,Gramercy,Manhattan,Manhattan
2019-03-26 18:09:26,2019-03-26 18:14:30,1,1.12,6.0,1.0,0.0,11.3,credit card,Murray Hill,Gramercy,Manhattan,Manhattan
2019-03-23 10:58:59,2019-03-23 11:07:46,1,0.8,7.0,2.05,0.0,12.35,credit card,Union Sq,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-17 10:44:09,2019-03-17 11:07:50,1,2.72,16.0,3.86,0.0,23.16,credit card,Lincoln Square East,Midtown South,Manhattan,Manhattan
2019-03-11 19:25:50,2019-03-11 19:51:19,1,5.23,20.5,4.96,0.0,29.76,credit card,Midtown North,Two Bridges/Seward Park,Manhattan,Manhattan
2019-03-19 07:37:16,2019-03-19 07:40:06,1,0.6,4.0,1.1,0.0,8.4,credit card,Murray Hill,Gramercy,Manhattan,Manhattan
2019-03-25 23:47:42,2019-03-26 00:07:21,1,4.39,17.0,4.16,0.0,24.96,credit card,East Chelsea,Central Harlem,Manhattan,Manhattan
2019-03-02 14:01:37,2019-03-02 14:13:15,1,2.2,10.5,2.75,0.0,16.55,credit card,Upper East Side South,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-26 10:11:20,2019-03-26 10:17:25,1,1.2,7.0,2.05,0.0,12.35,credit card,Meatpacking/West Village West,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-25 15:44:58,2019-03-25 15:50:27,1,0.8,5.5,0.0,0.0,8.8,cash,Gramercy,Union Sq,Manhattan,Manhattan
2019-03-14 19:33:08,2019-03-14 20:53:38,4,17.74,52.0,11.96,0.0,71.76,credit card,JFK Airport,Little Italy/NoLiTa,Queens,Manhattan
2019-03-18 14:24:40,2019-03-18 14:47:40,1,5.5,21.0,4.85,0.0,29.15,credit card,Garment District,Seaport,Manhattan,Manhattan
2019-03-16 21:14:20,2019-03-16 21:41:03,1,4.01,19.5,3.5,0.0,26.8,credit card,Lincoln Square West,Greenwich Village South,Manhattan,Manhattan
2019-03-11 18:35:20,2019-03-11 18:43:26,2,1.39,7.5,1.0,0.0,12.8,credit card,Lenox Hill West,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-24 03:50:37,2019-03-24 04:04:45,1,4.7,15.0,1.88,0.0,20.68,credit card,Clinton East,East Harlem North,Manhattan,Manhattan
2019-03-19 14:56:55,2019-03-19 15:02:49,1,0.66,5.5,0.0,0.0,8.8,cash,East Harlem South,Upper East Side North,Manhattan,Manhattan
2019-03-12 09:07:29,2019-03-12 09:58:14,2,11.53,44.0,13.26,5.76,66.32,credit card,LaGuardia Airport,Midtown East,Queens,Manhattan
2019-03-17 13:00:52,2019-03-17 13:28:35,1,1.77,17.5,4.0,0.0,24.8,credit card,Penn Station/Madison Sq West,Midtown North,Manhattan,Manhattan
2019-03-19 18:55:15,2019-03-19 19:24:02,1,12.33,36.0,8.06,0.0,48.36,credit card,LaGuardia Airport,TriBeCa/Civic Center,Queens,Manhattan
2019-03-22 14:20:00,2019-03-22 14:21:29,1,0.61,4.0,1.2,0.0,6.0,credit card,Upper West Side North,Bloomingdale,Manhattan,Manhattan
2019-03-05 18:33:06,2019-03-05 18:39:48,1,0.9,-6.5,0.0,0.0,-8.3,,,,,
2019-03-09 00:01:56,2019-03-09 00:13:00,1,1.2,8.5,2.45,0.0,14.75,credit card,East Village,Greenwich Village South,Manhattan,Manhattan
2019-03-27 23:30:48,2019-03-27 23:37:26,5,0.95,6.0,1.96,0.0,11.76,credit card,Financial District North,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-12 19:19:18,2019-03-12 19:29:06,5,1.75,8.5,1.0,0.0,13.8,credit card,UN/Turtle Bay South,Midtown East,Manhattan,Manhattan
2019-03-01 01:19:40,2019-03-01 01:30:27,2,0.9,6.0,0.0,0.0,9.8,cash,Two Bridges/Seward Park,Lower East Side,Manhattan,Manhattan
2019-03-27 22:49:56,2019-03-27 23:02:41,2,2.32,11.0,0.0,0.0,14.8,cash,Lower East Side,Union Sq,Manhattan,Manhattan
2019-03-06 11:13:00,2019-03-06 11:24:04,1,1.4,8.5,0.0,0.0,11.8,cash,Upper East Side South,Upper East Side North,Manhattan,Manhattan
2019-03-04 17:52:27,2019-03-04 18:08:18,1,1.88,11.5,3.16,0.0,18.96,credit card,Midtown East,Lincoln Square West,Manhattan,Manhattan
2019-03-25 19:06:55,2019-03-25 19:10:27,1,0.73,4.5,1.76,0.0,10.56,credit card,Sutton Place/Turtle Bay North,Murray Hill,Manhattan,Manhattan
2019-03-15 11:16:31,2019-03-15 11:37:21,3,2.96,15.0,3.66,0.0,21.96,credit card,Yorkville East,Lincoln Square East,Manhattan,Manhattan
2019-03-19 20:34:55,2019-03-19 20:36:55,1,0.5,3.5,1.46,0.0,8.76,credit card,Yorkville West,Lenox Hill West,Manhattan,Manhattan
2019-03-09 18:08:39,2019-03-09 18:26:57,1,2.56,13.0,2.0,0.0,18.3,credit card,SoHo,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-07 01:34:40,2019-03-07 01:44:40,1,3.1,11.0,2.0,0.0,16.8,credit card,Lincoln Square East,Meatpacking/West Village West,Manhattan,Manhattan
2019-03-20 22:03:16,2019-03-20 22:15:12,1,1.4,9.0,2.55,0.0,15.35,credit card,TriBeCa/Civic Center,World Trade Center,Manhattan,Manhattan
2019-03-13 17:48:38,2019-03-13 17:58:17,2,1.55,8.5,1.2,0.0,14.0,credit card,Midtown East,Lenox Hill East,Manhattan,Manhattan
2019-03-05 20:43:42,2019-03-05 20:53:54,1,0.97,8.0,0.0,20.0,29.3,credit card,Seaport,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-28 12:00:20,2019-03-28 12:10:25,1,1.1,8.0,1.75,0.0,10.55,credit card,,,,
2019-03-29 18:26:43,2019-03-29 18:35:47,1,1.37,7.5,0.0,0.0,11.8,cash,Midtown Center,Lenox Hill East,Manhattan,Manhattan
2019-03-16 19:23:58,2019-03-16 19:32:56,1,2.1,9.0,2.25,0.0,14.55,credit card,Upper East Side North,Lincoln Square East,Manhattan,Manhattan
2019-03-11 08:26:30,2019-03-11 08:29:11,1,0.4,4.0,1.0,0.0,8.3,credit card,Lincoln Square West,Upper West Side South,Manhattan,Manhattan
2019-03-20 09:15:46,2019-03-20 09:36:11,1,1.8,13.5,3.35,0.0,20.15,credit card,Sutton Place/Turtle Bay North,Midtown South,Manhattan,Manhattan
2019-03-10 03:18:08,2019-03-10 03:23:04,1,1.59,6.5,2.06,0.0,12.36,credit card,Upper West Side South,Lincoln Square East,Manhattan,Manhattan
2019-03-20 00:35:15,2019-03-20 00:41:15,1,0.8,6.0,1.0,0.0,10.8,credit card,Midtown Center,Midtown South,Manhattan,Manhattan
2019-03-03 04:49:53,2019-03-03 05:06:49,1,8.8,26.0,0.0,0.0,29.8,credit card,Upper West Side North,Longwood,Manhattan,Bronx
2019-03-22 08:03:36,2019-03-22 08:08:18,1,0.94,5.5,1.26,0.0,7.56,credit card,Bloomingdale,Morningside Heights,Manhattan,Manhattan
2019-03-10 21:56:38,2019-03-10 22:03:32,2,2.04,8.5,2.46,0.0,14.76,credit card,Clinton West,Upper West Side North,Manhattan,Manhattan
2019-03-17 18:52:12,2019-03-17 19:37:12,1,18.23,52.0,12.21,5.76,73.27,credit card,Midtown North,JFK Airport,Manhattan,Queens
2019-03-06 20:27:03,2019-03-06 20:55:39,2,13.32,38.5,9.61,5.76,57.67,credit card,Sutton Place/Turtle Bay North,Murray Hill-Queens,Manhattan,Queens
2019-03-20 17:01:04,2019-03-20 17:15:25,1,2.3,11.5,3.15,0.0,18.95,credit card,Midtown South,Greenwich Village South,Manhattan,Manhattan
2019-03-27 18:17:28,2019-03-27 18:22:58,2,0.79,5.5,0.0,0.0,9.8,cash,Upper West Side South,Upper West Side South,Manhattan,Manhattan
2019-03-09 08:43:06,2019-03-09 08:46:24,5,0.99,5.0,1.7,0.0,10.0,credit card,Midtown Center,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019-03-09 15:31:25,2019-03-09 15:44:06,1,2.16,10.5,2.76,0.0,16.56,credit card,Upper West Side South,Clinton West,Manhattan,Manhattan
2019-03-04 15:08:39,2019-03-04 15:12:11,1,0.53,4.5,0.0,0.0,7.8,credit card,Upper East Side North,Upper East Side North,Manhattan,Manhattan
2019-03-13 07:48:08,2019-03-13 08:03:00,1,3.8,14.5,3.06,0.0,18.36,credit card,Washington Heights South,Manhattan Valley,Manhattan,Manhattan
2019-03-01 12:44:42,2019-03-01 13:12:48,1,4.0,19.0,4.46,0.0,26.76,credit card,Midtown East,SoHo,Manhattan,Manhattan
2019-03-18 06:17:10,2019-03-18 06:21:22,1,1.0,5.5,1.0,0.0,7.3,credit card,Astoria,Long Island City/Queens Plaza,Queens,Queens
2019-03-01 08:38:00,2019-03-01 08:43:05,1,0.9,5.5,0.0,0.0,6.3,cash,Upper West Side North,Morningside Heights,Manhattan,Manhattan
2019-03-19 18:38:10,2019-03-19 18:50:28,4,1.98,10.0,2.86,0.0,17.16,credit card,Murray Hill,Greenwich Village North,Manhattan,Manhattan
2019-03-02 16:35:05,2019-03-02 16:55:24,1,9.96,28.5,0.0,0.0,29.3,cash,JFK Airport,Queens Village,Queens,Queens
2019-03-07 14:29:49,2019-03-07 14:50:35,1,2.3,14.5,0.0,0.0,17.8,cash,Midtown Center,Upper West Side South,Manhattan,Manhattan
2019-03-28 07:44:02,2019-03-28 08:05:13,1,3.55,12.61,0.0,0.0,13.41,credit card,East Harlem South,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-10 05:44:50,2019-03-10 05:53:02,1,2.9,10.0,3.0,0.0,16.8,credit card,Midtown Center,Upper East Side North,Manhattan,Manhattan
2019-03-18 17:53:53,2019-03-18 18:04:16,1,0.5,7.5,2.35,0.0,14.15,credit card,Penn Station/Madison Sq West,Midtown South,Manhattan,Manhattan
2019-03-30 16:07:56,2019-03-30 16:45:29,1,16.85,52.0,14.64,5.76,73.2,credit card,Randalls Island,JFK Airport,Manhattan,Queens
2019-03-29 19:21:39,2019-03-29 19:50:54,1,3.53,19.5,7.14,0.0,30.94,credit card,Little Italy/NoLiTa,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-27 21:10:10,2019-03-27 21:32:15,1,4.95,18.5,4.46,0.0,26.76,credit card,West Village,Upper East Side South,Manhattan,Manhattan
2019-03-07 18:13:12,2019-03-07 18:29:09,1,2.5,12.0,0.0,0.0,16.3,cash,Battery Park City,Greenwich Village North,Manhattan,Manhattan
2019-03-30 12:07:11,2019-03-30 13:53:13,1,59.98,177.0,42.48,35.08,254.86,credit card,Clinton East,,Manhattan,
2019-03-06 11:06:21,2019-03-06 11:17:29,1,1.28,8.5,2.0,0.0,13.8,credit card,Murray Hill,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-01 17:47:53,2019-03-01 17:54:58,1,0.78,6.5,2.16,0.0,12.96,credit card,Upper West Side North,Upper West Side South,Manhattan,Manhattan
2019-03-26 21:26:19,2019-03-26 21:32:21,2,1.4,6.5,2.55,0.0,12.85,credit card,East Chelsea,Clinton West,Manhattan,Manhattan
2019-03-04 18:28:00,2019-03-04 18:52:49,1,4.5,20.0,0.0,0.0,24.3,cash,Garment District,Manhattan Valley,Manhattan,Manhattan
2019-03-11 00:36:53,2019-03-11 00:41:41,1,1.33,6.5,1.0,0.0,8.8,credit card,Astoria,Long Island City/Queens Plaza,Queens,Queens
2019-03-02 10:56:01,2019-03-02 11:01:20,1,2.0,7.5,0.0,0.0,10.8,cash,Seaport,DUMBO/Vinegar Hill,Manhattan,Brooklyn
2019-03-24 19:55:56,2019-03-24 20:03:45,3,1.8,8.0,0.0,0.0,11.3,cash,UN/Turtle Bay South,Upper East Side North,Manhattan,Manhattan
2019-03-31 20:06:58,2019-03-31 20:25:02,5,2.68,13.5,3.46,0.0,20.76,credit card,Murray Hill,Lower East Side,Manhattan,Manhattan
2019-03-22 17:59:30,2019-03-22 18:04:51,1,0.91,5.5,2.45,0.0,12.25,credit card,East Chelsea,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-01 14:46:04,2019-03-01 15:13:42,2,4.23,19.5,5.7,0.0,28.5,credit card,Hamilton Heights,Upper East Side North,Manhattan,Manhattan
2019-03-19 00:44:55,2019-03-19 01:06:22,1,11.0,31.0,8.1,5.76,48.66,credit card,LaGuardia Airport,Midtown South,Queens,Manhattan
2019-03-20 12:16:26,2019-03-20 12:34:49,2,4.4,17.0,0.0,0.0,20.3,cash,Clinton East,Battery Park City,Manhattan,Manhattan
2019-03-07 18:58:49,2019-03-07 19:14:30,2,1.9,11.0,0.0,0.0,15.3,cash,SoHo,Union Sq,Manhattan,Manhattan
2019-03-24 14:00:20,2019-03-24 14:27:53,1,7.1,25.5,0.0,0.0,28.8,cash,Lenox Hill West,LaGuardia Airport,Manhattan,Queens
2019-03-31 23:17:05,2019-03-31 23:45:04,1,18.07,79.0,16.46,0.0,98.76,credit card,Springfield Gardens South,World Trade Center,Queens,Manhattan
2019-03-01 23:31:37,2019-03-01 23:39:35,1,1.41,7.5,2.26,0.0,13.56,credit card,Flatiron,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
2019-03-26 21:36:30,2019-03-26 21:42:17,1,1.1,6.5,1.0,0.0,11.3,credit card,Lenox Hill West,Upper East Side South,Manhattan,Manhattan
2019-03-07 12:11:33,2019-03-07 12:30:05,3,1.36,12.0,0.0,0.0,15.3,cash,Garment District,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-17 20:54:43,2019-03-17 20:57:59,1,0.84,5.0,0.0,0.0,6.3,cash,LaGuardia Airport,East Elmhurst,Queens,Queens
2019-03-11 00:31:18,2019-03-11 00:35:05,1,1.1,5.5,1.85,0.0,11.15,credit card,Times Sq/Theatre District,Lincoln Square East,Manhattan,Manhattan
2019-03-07 16:34:53,2019-03-07 16:45:05,1,1.18,8.5,0.0,0.0,12.8,cash,Upper East Side South,Upper East Side South,Manhattan,Manhattan
2019-03-20 17:31:30,2019-03-20 17:41:40,4,1.58,8.5,0.0,0.0,10.3,cash,Central Park,East Harlem North,Manhattan,Manhattan
2019-03-06 22:20:23,2019-03-06 22:29:15,1,1.17,7.5,2.26,0.0,13.56,credit card,Garment District,Midtown East,Manhattan,Manhattan
2019-03-30 13:41:44,2019-03-30 13:51:39,3,1.28,8.0,0.0,0.0,11.3,cash,Penn Station/Madison Sq West,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-19 21:14:11,2019-03-19 21:20:20,1,0.78,5.5,0.0,0.0,9.3,cash,Union Sq,Gramercy,Manhattan,Manhattan
2019-03-06 22:44:27,2019-03-06 23:11:48,1,10.9,32.5,6.0,0.0,42.3,credit card,Little Italy/NoLiTa,Washington Heights South,Manhattan,Manhattan
2019-03-10 04:54:31,2019-03-10 05:02:52,1,1.0,7.0,0.0,0.0,10.8,cash,Kips Bay,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-01 12:52:18,2019-03-01 12:57:58,1,0.68,6.0,1.86,0.0,11.16,credit card,Upper West Side South,Lincoln Square East,Manhattan,Manhattan
2019-03-03 17:23:18,2019-03-03 17:30:54,1,1.3,7.5,2.16,0.0,12.96,credit card,Upper East Side North,Upper West Side South,Manhattan,Manhattan
2019-03-11 13:01:15,2019-03-11 13:12:39,1,1.47,9.0,2.46,0.0,14.76,credit card,Midtown East,Lenox Hill West,Manhattan,Manhattan
2019-03-02 00:13:29,2019-03-02 00:23:05,2,1.01,7.5,0.0,0.0,11.3,credit card,East Village,Lower East Side,Manhattan,Manhattan
2019-03-18 10:01:05,2019-03-18 10:14:15,1,3.8,14.5,3.55,0.0,21.35,credit card,Murray Hill,East Harlem South,Manhattan,Manhattan
2019-03-10 07:22:10,2019-03-10 07:26:06,1,0.6,5.0,0.0,0.0,8.3,cash,Upper East Side South,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019-03-09 11:08:08,2019-03-09 11:16:30,5,1.13,7.5,2.16,0.0,12.96,credit card,Upper West Side South,Lincoln Square East,Manhattan,Manhattan
2019-03-29 09:21:59,2019-03-29 10:02:42,1,17.37,69.0,28.29,25.0,122.59,credit card,Midtown North,Newark Airport,Manhattan,EWR
2019-03-10 07:59:43,2019-03-10 08:11:08,1,2.32,10.5,2.76,0.0,16.56,credit card,Upper West Side South,Morningside Heights,Manhattan,Manhattan
2019-03-26 02:16:14,2019-03-26 02:22:34,1,1.0,6.5,2.34,0.0,10.14,credit card,Central Harlem,Central Harlem,Manhattan,Manhattan
2019-03-26 21:12:57,2019-03-26 21:25:59,4,2.35,10.5,0.0,0.0,14.3,cash,Flatiron,Central Park,Manhattan,Manhattan
2019-03-05 07:42:24,2019-03-05 07:47:17,1,0.86,5.5,0.0,0.0,8.8,cash,Upper East Side South,Upper East Side North,Manhattan,Manhattan
2019-03-30 21:10:57,2019-03-30 21:53:50,1,5.3,28.0,0.0,0.0,31.8,credit card,Union Sq,Stuyvesant Heights,Manhattan,Brooklyn
2019-03-11 15:24:36,2019-03-11 15:33:23,2,0.9,7.5,1.62,0.0,12.42,credit card,Upper East Side North,Upper East Side South,Manhattan,Manhattan
2019-03-04 18:59:33,2019-03-04 19:15:31,1,2.86,13.5,3.56,0.0,21.36,credit card,Lower East Side,East Chelsea,Manhattan,Manhattan
2019-03-30 14:05:52,2019-03-30 14:16:43,3,5.01,16.5,0.7,0.0,18.0,credit card,Upper West Side North,Washington Heights South,Manhattan,Manhattan
2019-03-22 11:04:59,2019-03-22 11:21:08,2,0.89,11.0,1.7,0.0,16.0,credit card,Midtown North,Clinton West,Manhattan,Manhattan
2019-03-12 07:03:15,2019-03-12 07:07:23,1,0.7,5.0,1.0,0.0,9.3,credit card,Gramercy,East Village,Manhattan,Manhattan
2019-03-12 00:24:34,2019-03-12 00:42:00,3,8.85,26.5,4.0,0.0,34.3,credit card,LaGuardia Airport,East Village,Queens,Manhattan
