Month,Day,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,24,,,,15.559,,15.976,15.479,,15.74,,15.743,15.329,15.74,15.325,15.56,15.775,15.543,15.256,14.966,15.623,15.363,15.538,15.146,15.443,15.224,15.603,14.882,14.437,14.206,14.399,15.113,15.027,15.179,14.483,15.157,14.866,14.7,14.388,14.444,14.12,14.246,14.451,14.385,14.528,14.41
,25,,16.264,15.923,,15.929,,,16.027,,15.708,15.702,15.283,15.609,15.388,15.57,15.719,15.494,15.217,14.895,15.63,15.356,15.561,15.046,15.467,15.183,15.587,14.958,14.432,14.212,14.368,15.133,15.022,15.118,14.449,15.107,14.884,14.716,14.444,14.447,14.123,14.201,14.382,14.369,14.552,14.592
,26,,,,15.626,,15.964,15.486,,15.672,,15.748,15.235,15.564,15.371,15.569,15.754,15.523,15.193,14.925,15.554,15.423,15.555,15.082,15.415,15.114,15.604,15.048,14.41,14.257,14.414,15.135,14.981,15.174,14.475,15.166,14.962,14.715,14.495,14.419,14.197,14.209,14.33,14.272,14.555,14.616
,27,,16.06,15.986,,15.875,,,16.019,,15.754,15.737,15.238,15.479,15.221,15.554,15.699,15.553,15.261,14.916,15.324,15.45,15.541,15.079,15.318,15.173,15.578,15.016,14.393,14.251,14.387,15.081,14.954,15.149,14.475,15.152,14.935,14.653,14.442,14.427,14.199,14.274,14.331,14.326,14.604,14.584
,28,,,,15.517,,15.926,15.504,,15.589,,15.676,15.302,15.483,15.221,15.543,15.67,15.555,15.289,14.976,15.24,15.445,15.544,15.146,15.271,15.126,15.499,14.83,14.422,14.249,14.281,15.051,14.906,15.147,14.431,15.16,14.902,14.638,14.34,14.351,14.211,14.309,14.308,14.194,14.464,14.597
,29,,15.763,15.891,,15.931,,,15.957,,15.804,15.63,15.277,15.526,15.282,15.401,15.74,15.551,15.304,15.006,15.282,15.506,15.599,15.218,15.182,14.991,15.474,14.793,14.509,14.243,14.326,14.988,14.881,15.248,14.451,15.193,14.948,14.497,14.343,14.23,14.256,14.235,14.227,14.197,14.405,14.503
,30,,,,15.481,,15.849,15.446,,15.643,,15.522,15.281,15.54,15.432,15.41,15.736,15.485,15.339,15.016,15.333,15.381,15.627,15.219,15.185,14.931,15.426,14.784,14.508,14.214,14.277,15.041,14.864,15.31,14.521,15.14,14.889,14.538,14.385,14.155,14.253,14.239,14.096,14.201,14.318,14.444
,31,,15.804,15.813,,15.982,,,15.77,,15.709,15.523,15.248,15.551,15.451,15.347,15.63,15.478,15.384,14.979,15.324,15.45,15.6,15.14,15.149,14.882,15.375,14.841,14.425,14.233,14.264,15.081,14.762,15.351,14.548,15.163,14.831,14.585,14.292,14.149,14.183,14.257,14.06,14.153,14.299,14.36
April,1,,,,15.44,,15.886,15.389,,15.636,,15.523,15.116,15.533,15.482,15.311,15.598,15.47,15.219,14.827,15.206,15.37,15.486,15.122,15.105,14.885,15.232,14.742,14.398,14.22,14.267,14.989,14.73,15.279,14.529,15.107,14.787,14.541,14.241,14.117,14.164,14.196,14.014,14.108,14.304,14.371
,2,,15.66,15.681,,15.945,,,15.58,,15.626,15.562,14.993,15.483,15.463,15.222,15.527,15.357,15.118,14.7,15.216,15.434,15.44,15.078,15.167,14.72,15.081,14.735,14.314,14.297,14.277,14.931,14.728,15.229,14.557,15.077,14.768,14.541,14.25,14.114,14.165,14.119,14.013,14.127,14.265,14.383
,3,,,,15.221,,15.914,15.335,,15.629,,15.598,14.933,15.551,15.41,15.135,15.466,15.307,15.108,14.63,15.174,15.436,15.461,15.046,15.161,14.694,15.019,14.68,14.414,14.211,14.186,14.901,14.779,15.149,14.423,15.117,14.722,14.475,14.174,14.044,14.219,14.02,13.966,14.073,14.221,14.353
,4,,15.641,15.664,,15.943,,,15.576,,15.506,15.601,15.029,15.524,15.363,15.108,15.398,15.241,14.977,14.534,15.077,15.465,15.423,14.995,15.089,14.649,15.045,14.682,14.396,14.121,14.225,14.794,14.818,15.122,14.33,15.065,14.647,14.573,14.089,14.053,14.205,14.045,13.889,14.008,14.19,14.438
,5,,,,15.224,,15.734,15.268,,15.427,,15.534,15.012,15.455,15.372,15.013,15.38,15.146,14.906,14.476,15.062,15.376,15.494,15.039,15.113,14.609,14.965,14.669,14.43,14.251,14.242,14.747,14.753,15.053,14.4,14.942,14.616,14.61,14.122,14.025,14.119,13.972,13.767,13.897,14.095,14.387
,6,,15.695,15.707,,15.859,,,15.535,,15.539,15.514,14.968,15.402,15.355,14.935,15.381,15.142,14.937,14.404,15.093,15.34,15.46,15.018,15.101,14.609,15.021,14.595,14.369,14.25,14.186,14.722,14.684,15.054,14.35,14.919,14.743,14.547,14.042,13.995,14.013,13.939,13.627,13.907,14.095,14.332
,7,,,,15.242,,15.706,15.16,,15.302,,15.536,14.857,15.393,15.278,14.93,15.396,15.095,14.923,14.373,15.154,15.268,15.435,14.815,15.084,14.585,14.868,14.504,14.342,14.149,14.123,14.814,14.732,14.995,14.397,14.803,14.673,14.479,13.989,14.028,14.051,13.877,13.539,13.871,14.069,14.344
,8,,15.794,15.653,,15.581,,,15.459,,15.541,15.49,14.772,15.275,15.265,14.884,15.348,15.076,14.871,14.343,15.072,15.269,15.367,14.798,15.056,14.543,14.889,14.461,14.345,14.068,14.141,14.842,14.668,14.978,14.254,14.853,14.623,14.47,13.992,13.952,13.964,13.919,13.565,13.711,13.962,14.434
,9,,,,15.202,,15.528,15.321,,15.292,,15.489,14.724,15.037,15.196,14.809,15.257,15.088,14.71,14.35,14.92,15.29,15.376,14.871,15.093,14.481,14.817,14.421,14.279,13.947,14.074,14.755,14.667,14.967,14.22,14.796,14.622,14.464,14.029,13.838,13.926,13.903,13.554,13.733,13.991,14.399
,10,,15.761,15.644,,15.577,,,15.445,,15.573,15.447,14.656,14.897,15.116,14.736,15.286,15.116,14.686,14.359,14.786,15.175,15.261,14.867,15.1,14.428,14.784,14.325,14.194,13.986,14.028,14.773,14.638,14.882,14.241,14.786,14.593,14.348,14.054,13.836,13.936,13.852,13.547,13.739,13.807,14.332
,11,,,,15.135,,15.574,15.287,,15.182,,15.341,14.648,14.85,14.983,14.747,15.319,15.052,14.593,14.324,14.734,15.029,15.269,14.698,15.236,14.321,14.726,14.119,14.248,13.948,13.93,14.678,14.61,14.805,14.26,14.705,14.576,14.358,14.089,13.772,13.931,13.889,13.515,13.696,13.792,14.202
,12,,15.655,15.652,,15.491,,,15.524,,15.408,15.273,14.591,14.743,14.939,14.719,15.296,14.997,14.596,14.299,14.606,14.979,15.275,14.549,15.109,14.336,14.695,13.948,14.206,13.92,13.878,14.616,14.653,14.751,14.261,14.687,14.542,14.171,14.068,13.85,13.92,13.827,13.462,13.739,13.808,14.109
,13,,,,15.11,,15.317,15.107,,15.13,,15.193,14.516,14.664,14.891,14.708,15.273,15.004,14.536,14.268,14.617,14.962,15.392,14.626,15.096,14.379,14.635,13.883,14.142,13.958,13.909,14.498,14.561,14.704,14.232,14.655,14.497,14.174,14.017,13.826,13.803,13.833,13.5,13.738,13.81,14.099
,14,,15.5,15.523,,15.627,,,15.432,,15.374,15.179,14.349,14.673,14.899,14.689,15.248,14.962,14.458,14.245,14.527,14.942,15.3,14.551,14.976,14.381,14.523,13.9,14.142,13.912,13.806,14.487,14.521,14.694,14.264,14.657,14.397,14.202,14.035,13.825,13.683,13.76,13.49,13.757,13.729,14.081
,15,,,,15.086,,15.145,15.085,,15.019,,15.164,14.37,14.627,14.85,14.709,15.19,14.89,14.483,14.213,14.5,14.869,15.263,14.477,14.87,14.36,14.531,13.861,14.038,13.952,13.777,14.411,14.561,14.621,14.232,14.679,14.346,14.147,13.986,13.813,13.693,13.728,13.431,13.646,13.786,14.078
,16,,15.454,15.509,,15.528,,,15.511,,15.414,15.152,14.265,14.566,14.787,14.652,15.182,14.839,14.34,14.16,14.43,14.824,15.185,14.44,14.809,14.369,14.565,13.821,14.009,13.999,13.722,14.268,14.517,14.589,14.157,14.731,14.345,14.039,13.964,13.767,13.654,13.648,13.394,13.58,13.847,14.023
,17,,,,14.983,,15.063,15.037,,15.008,,15.107,14.239,14.384,14.81,14.677,15.168,14.78,14.325,14.128,14.334,14.862,15.163,14.274,14.78,14.329,14.475,13.768,14.013,14.013,13.772,14.305,14.434,14.581,14.138,14.663,14.245,13.945,13.895,13.783,13.736,13.666,13.328,13.489,13.849,13.961
,18,,15.51,15.39,,15.448,,,15.454,,15.247,15.031,14.064,14.303,14.753,14.622,15.079,14.792,14.337,14.126,14.301,14.826,15.111,14.246,14.806,14.265,14.345,13.715,14.003,13.913,13.751,14.178,14.41,14.527,14.077,14.613,14.164,13.837,13.898,13.672,13.682,13.652,13.254,13.491,13.787,13.895
,19,,,,14.95,,14.839,14.973,,14.872,,15.062,14.004,14.247,14.635,14.607,15.015,14.754,14.35,14.109,14.271,14.746,14.947,14.246,14.769,14.184,14.332,13.778,13.965,13.967,13.755,14.107,14.402,14.499,14.035,14.579,14.181,13.797,13.897,13.583,13.657,13.589,13.214,13.575,13.641,13.911
,20,,15.343,15.376,,15.387,,,15.252,,15.151,15.037,13.996,14.364,14.63,14.595,14.957,14.776,14.261,14.071,14.245,14.685,14.753,14.317,14.745,14.223,14.276,13.767,14.023,13.945,13.784,14.063,14.479,14.492,13.953,14.603,14.124,13.814,13.881,13.591,13.625,13.562,13.23,13.546,13.564,13.893
,21,,,,14.92,,14.819,14.897,,14.858,,14.91,13.959,14.322,14.62,14.563,15.032,14.773,14.231,14.106,14.243,14.619,14.72,14.36,14.711,14.183,14.232,13.682,14.016,13.853,13.719,13.979,14.438,14.451,13.959,14.597,14.123,13.802,13.992,13.588,13.561,13.534,13.262,13.546,13.494,13.824
,22,,15.255,15.406,,15.276,,,15.226,,14.991,14.917,13.963,14.268,14.606,14.606,14.88,14.65,14.161,14.102,14.207,14.594,14.746,14.29,14.711,14.15,14.235,13.649,13.954,13.875,13.663,13.995,14.435,14.443,13.929,14.523,14.054,13.762,13.951,13.493,13.467,13.414,13.221,13.528,13.578,13.84
,23,,,,14.844,,14.695,14.699,,14.703,,14.829,13.929,14.212,14.583,14.571,14.802,14.634,14.06,14.097,14.186,14.535,14.704,14.409,14.71,14.097,14.292,13.556,13.88,13.819,13.682,13.937,14.309,14.42,13.926,14.501,14.065,13.797,13.827,13.442,13.436,13.449,13.279,13.428,13.512,13.8
,24,,15.224,15.259,,15.135,,,15.225,,14.869,14.62,13.898,14.162,14.519,14.463,14.837,14.632,14.006,14.093,14.145,14.477,14.767,14.388,14.599,14.054,14.15,13.554,13.927,13.7,13.615,13.879,14.268,14.343,13.896,14.455,13.988,13.804,13.628,13.37,13.469,13.465,13.254,13.388,13.537,13.797
,25,,,,14.714,,14.553,14.678,,14.681,,14.617,13.794,14.051,14.478,14.351,14.758,14.618,13.984,13.991,14.18,14.477,14.714,14.339,14.574,14.075,14.122,13.577,13.908,13.684,13.542,13.807,14.279,14.261,13.765,14.39,13.897,13.711,13.581,13.327,13.454,13.42,13.307,13.244,13.467,13.755
,26,,15.141,15.117,,15.105,,,15.109,,14.742,14.584,13.754,14.04,14.418,14.303,14.717,14.635,13.951,13.969,14.145,14.416,14.686,14.205,14.515,13.945,13.969,13.5,13.795,13.619,13.486,13.845,14.278,14.223,13.78,14.272,13.784,13.738,13.535,13.277,13.477,13.446,13.179,13.182,13.535,13.713
,27,,,,14.564,,14.442,14.608,,14.629,,14.637,13.679,13.981,14.34,14.297,14.509,14.578,13.925,13.916,14.157,14.415,14.603,14.263,14.496,13.867,13.994,13.52,13.782,13.527,13.439,13.848,14.185,14.292,13.727,14.164,13.793,13.671,13.466,13.221,13.452,13.399,13.103,13.213,13.546,13.707
,28,,15.108,14.996,,15.091,,,15.065,,14.629,14.635,13.627,13.85,14.249,14.198,14.391,14.519,13.882,13.885,14.152,14.395,14.631,14.176,14.458,13.768,13.919,13.443,13.737,13.401,13.471,13.811,14.123,14.177,13.709,14.091,13.744,13.624,13.405,13.186,13.415,13.257,13.08,13.238,13.526,13.648
,29,,,,14.514,,14.366,14.373,,14.514,,14.578,13.577,13.798,14.273,14.121,14.341,14.418,13.814,13.759,14.118,14.381,14.572,14.096,14.364,13.79,13.827,13.43,13.725,13.361,13.482,13.783,14.128,14.147,13.636,13.94,13.683,13.637,13.362,13.117,13.394,13.25,13.033,13.225,13.494,13.589
,30,,14.961,14.859,,14.997,,,14.955,,14.553,14.54,13.57,13.847,14.229,14.026,14.285,14.3,13.71,13.619,14.033,14.302,14.513,14.146,14.302,13.704,13.798,13.335,13.701,13.31,13.424,13.795,14.081,14.034,13.597,13.803,13.62,13.558,13.336,12.933,13.333,13.252,13.016,13.222,13.455,13.555
May,1,,,,14.272,,14.045,14.194,,14.275,,14.362,13.363,13.621,14.068,13.867,14.172,14.126,13.556,13.547,13.906,14.157,14.35,13.943,14.287,13.527,13.71,13.203,13.581,13.087,13.367,13.649,13.956,13.88,13.414,13.596,13.477,13.35,13.142,12.746,13.14,13.054,12.862,13.091,13.279,13.357
,2,,14.626,14.718,,14.786,,,14.714,,14.292,14.318,13.342,13.587,14.01,13.801,14.134,14.187,13.539,13.541,13.877,14.168,14.321,13.891,14.299,13.508,13.549,13.113,13.464,13.002,13.295,13.651,13.901,13.821,13.388,13.584,13.478,13.262,13.112,12.689,13.136,13.012,12.812,13.077,13.226,13.28
,3,,,,14.285,,13.929,14.009,,14.12,,14.298,13.369,13.571,13.944,13.657,14.028,14.147,13.54,13.539,13.829,14.184,14.342,13.809,14.235,13.481,13.551,13.129,13.397,12.923,13.291,13.593,13.857,13.7,13.269,13.562,13.422,13.2,13.098,12.717,13.141,12.941,12.807,13.054,13.142,13.26
,4,,14.498,14.549,,14.679,,,14.655,,14.241,14.234,13.319,13.563,13.945,13.566,14.036,14.099,13.515,13.516,13.862,14.142,14.306,13.737,14.178,13.482,13.481,13.128,13.314,12.876,13.271,13.586,13.863,13.641,13.21,13.491,13.435,13.18,13.134,12.622,13.069,12.841,12.662,12.995,13.054,13.21
,5,,,,14.249,,13.935,13.976,,13.925,,14.159,13.252,13.6,13.862,13.53,13.955,14.105,13.449,13.49,13.791,14.091,14.26,13.74,14.109,13.384,13.412,13.019,13.264,12.835,13.209,13.576,13.78,13.549,13.218,13.477,13.349,13.125,13.078,12.652,13.08,12.769,12.554,13.038,13,13.237
,6,,14.45,14.412,,14.511,,,14.56,,14.118,14.112,13.25,13.614,13.815,13.536,13.902,14.123,13.437,13.43,13.794,14.064,14.159,13.616,14.043,13.341,13.358,12.97,13.247,12.841,13.171,13.494,13.763,13.54,13.213,13.461,13.353,13.046,12.995,12.552,13.1,12.647,12.543,12.923,12.991,13.211
,7,,,,14.077,,13.787,13.907,,13.81,,14.057,13.24,13.609,13.801,13.502,13.862,14.028,13.419,13.312,13.688,14.051,14.141,13.642,14.007,13.346,13.306,12.901,13.211,12.783,13.139,13.491,13.693,13.47,13.179,13.442,13.373,13.054,12.882,12.529,12.994,12.57,12.576,12.802,12.943,13.263
,8,,14.325,14.32,,14.319,,,14.394,,13.996,14.02,13.247,13.556,13.756,13.521,13.872,13.941,13.404,13.329,13.556,14.096,14.111,13.586,14.032,13.321,13.265,12.781,13.205,12.765,13.123,13.436,13.683,13.415,13.101,13.375,13.304,12.978,12.812,12.386,12.955,12.58,12.592,12.764,12.895,13.187
,9,,,,14.083,,13.703,13.816,,13.602,,13.957,13.189,13.502,13.702,13.436,13.797,13.91,13.36,13.307,13.497,14.01,14.119,13.462,13.967,13.265,13.165,12.796,13.215,12.713,13.064,13.354,13.616,13.341,13.085,13.353,13.299,12.938,12.812,12.358,12.924,12.542,12.471,12.747,12.927,13.147
,10,,14.149,14.186,,14.222,,,14.32,,13.932,13.909,13.187,13.432,13.677,13.356,13.674,13.906,13.379,13.281,13.522,13.991,14.12,13.389,13.959,13.227,13.143,12.706,13.227,12.708,12.949,13.319,13.576,13.224,13.038,13.359,13.244,12.906,12.758,12.286,12.945,12.521,12.368,12.677,12.875,13.079
,11,,,,14.072,,13.64,13.724,,13.492,,13.827,13.122,13.423,13.612,13.24,13.657,13.871,13.388,13.165,13.458,13.967,14.084,13.269,13.892,13.197,13.056,12.709,13.119,12.709,12.941,13.224,13.457,13.137,12.969,13.377,13.219,12.877,12.758,12.18,12.879,12.459,12.403,12.679,12.812,13.1
,12,,14.012,14.011,,14.137,,,14.282,,13.886,13.765,13.094,13.419,13.667,13.23,13.604,13.842,13.35,13.1,13.387,13.902,14.006,13.301,13.828,13.214,13.09,12.632,13.109,12.706,12.898,13.199,13.406,13.159,12.872,13.308,13.189,12.778,12.699,12.084,12.8,12.358,12.371,12.705,12.825,13.09
,13,,,,14.025,,13.587,13.764,,13.424,,13.696,13.058,13.31,13.62,13.192,13.599,13.804,13.321,13.079,13.315,13.853,13.9,13.291,13.744,13.119,13.087,12.563,13.108,12.66,12.868,13.154,13.379,13.099,12.781,13.22,13.137,12.716,12.751,12.01,12.731,12.249,12.264,12.624,12.833,13
,14,,13.836,13.843,,14.083,,,14.172,,13.806,13.657,13.084,13.277,13.56,13.186,13.571,13.782,13.245,13.051,13.282,13.795,13.872,13.278,13.706,13.084,13.086,12.529,13.083,12.636,12.865,13.086,13.334,13.005,12.726,13.117,13.145,12.701,12.572,11.964,12.679,12.28,12.254,12.532,12.823,13.008
,15,,,,13.928,,13.502,13.621,,13.338,,13.599,13.051,13.284,13.474,13.162,13.469,13.707,13.212,13.017,13.193,13.753,13.806,13.119,13.652,13.076,13.007,12.48,13.025,12.571,12.838,13.049,13.288,12.955,12.695,13.067,13.077,12.676,12.54,11.918,12.666,12.209,12.232,12.363,12.758,13.015
,16,,13.862,13.757,,14.003,,,14.077,,13.735,13.589,13.008,13.284,13.495,13.13,13.37,13.668,13.107,13.045,13.154,13.582,13.74,13.051,13.536,13.049,12.955,12.476,12.945,12.556,12.749,13.048,13.17,12.864,12.658,13.008,13.047,12.672,12.512,11.87,12.563,12.249,12.192,12.307,12.78,12.962
,17,,,,13.843,,13.433,13.451,,13.264,,13.513,12.975,13.217,13.48,13.089,13.307,13.655,13.068,13.039,13.055,13.509,13.65,13.083,13.509,12.974,12.965,12.43,12.906,12.475,12.718,12.984,13.155,12.782,12.636,12.967,12.963,12.678,12.451,11.78,12.58,12.231,12.134,12.224,12.716,12.922
,18,,13.691,13.672,,13.853,,,13.914,,13.72,13.486,12.922,13.218,13.394,13.12,13.21,13.61,12.951,13.06,12.965,13.454,13.638,13.048,13.425,12.947,12.952,12.437,12.911,12.442,12.684,12.875,13.061,12.685,12.575,12.957,12.901,12.647,12.409,11.769,12.525,12.111,12.096,12.143,12.66,12.865
,19,,,,13.752,,13.319,13.487,,13.215,,13.391,13.027,13.167,13.35,13.09,13.188,13.517,12.859,13.021,13.022,13.361,13.556,12.959,13.358,12.876,12.933,12.394,12.87,12.439,12.724,12.775,12.992,12.64,12.538,12.926,12.872,12.595,12.347,11.715,12.514,12.043,12.044,12.13,12.66,12.781
,20,,13.56,13.531,,13.653,,,13.896,,13.596,13.289,12.96,13.185,13.314,13.069,13.061,13.502,12.775,13.05,12.88,13.369,13.542,12.886,13.219,12.755,12.874,12.334,12.861,12.511,12.769,12.672,13,12.573,12.425,12.807,12.833,12.568,12.297,11.667,12.542,11.99,11.937,12.184,12.651,12.704
,21,,,,13.568,,13.313,13.367,,13.192,,13.224,12.923,13.155,13.266,13.06,13.044,13.461,12.662,13.009,12.762,13.299,13.464,12.859,13.098,12.724,12.854,12.352,12.795,12.424,12.642,12.639,12.942,12.508,12.415,12.727,12.799,12.531,12.266,11.642,12.463,11.891,11.942,12.116,12.609,12.707
,22,,13.529,13.405,,13.576,,,13.868,,13.406,13.17,12.886,13.04,13.192,13.043,12.957,13.384,12.559,12.938,12.772,13.284,13.399,12.785,13.04,12.677,12.839,12.292,12.688,12.371,12.565,12.612,12.906,12.455,12.391,12.649,12.809,12.524,12.214,11.61,12.389,11.872,11.96,11.99,12.537,12.671
,23,,,,13.464,,13.27,13.401,,13.078,,13.125,12.874,12.969,13.196,12.978,12.929,13.296,12.495,12.934,12.787,13.271,13.371,12.724,13.019,12.668,12.783,12.261,12.615,12.335,12.503,12.602,12.822,12.375,12.427,12.664,12.716,12.504,12.102,11.514,12.353,11.885,11.932,11.896,12.456,12.718
,24,,13.364,13.34,,13.583,,,13.705,,13.417,13.098,12.856,12.972,13.144,12.988,12.887,13.188,12.436,12.881,12.753,13.186,13.307,12.814,12.98,12.658,12.786,12.242,12.552,12.295,12.466,12.587,12.732,12.328,12.283,12.594,12.721,12.442,11.98,11.401,12.277,11.801,11.899,11.892,12.442,12.598
,25,,,,13.378,,13.209,13.289,,12.977,,13.078,12.878,12.922,13.122,12.934,12.9,13.157,12.348,12.841,12.721,13.133,13.291,12.83,12.946,12.55,12.689,12.215,12.548,12.246,12.415,12.503,12.637,12.294,12.223,12.539,12.711,12.354,11.922,11.397,12.301,11.828,11.877,11.832,12.39,12.577
,26,,13.399,13.206,,13.543,,,13.625,,13.423,13.034,12.849,12.871,13.104,12.915,12.812,13.127,12.335,12.783,12.711,13.058,13.289,12.805,12.991,12.505,12.681,12.198,12.429,12.15,12.331,12.481,12.582,12.204,12.106,12.553,12.653,12.323,11.895,11.385,12.292,11.823,11.837,11.722,12.336,12.472
,27,,,,13.333,,13.132,13.192,,12.83,,12.983,12.853,12.794,13.073,12.947,12.75,13.11,12.349,12.758,12.675,13.003,13.331,12.665,12.906,12.5,12.689,12.283,12.402,12.059,12.338,12.43,12.575,12.105,12.098,12.516,12.556,12.278,11.875,11.347,12.247,11.765,11.806,11.689,12.233,12.421
,28,,13.292,13.023,,13.38,,,13.58,,13.342,12.918,12.807,12.776,13.038,12.96,12.758,13.112,12.298,12.814,12.611,12.943,13.298,12.618,12.839,12.465,12.603,12.209,12.365,12,12.327,12.316,12.541,12.115,12.105,12.499,12.507,12.222,11.841,11.297,12.15,11.757,11.665,11.703,12.164,12.435
,29,,,,13.275,,13.052,13.035,,12.781,,12.871,12.823,12.753,13.051,12.89,12.681,13.039,12.295,12.76,12.607,12.903,13.254,12.553,12.723,12.417,12.566,12.229,12.352,12.012,12.296,12.318,12.465,12.052,12.044,12.429,12.455,12.195,11.792,11.241,12.08,11.693,11.606,11.642,12.102,12.348
,30,,13.26,12.916,,13.27,,,13.339,,13.234,12.828,12.766,12.705,12.97,12.878,12.665,12.985,12.268,12.668,12.578,12.881,13.195,12.495,12.641,12.402,12.58,12.194,12.267,11.919,12.184,12.267,12.376,12.003,12.04,12.4,12.478,12.238,11.744,11.197,12.035,11.612,11.578,11.579,12.016,12.302
,31,,,,13.222,,13.005,12.994,,12.75,,12.82,12.794,12.605,12.965,12.809,12.564,12.967,12.215,12.626,12.482,12.825,13.058,12.485,12.63,12.35,12.483,12.106,12.169,11.989,12.17,12.224,12.28,11.93,11.982,12.342,12.393,12.164,11.721,11.132,11.994,11.61,11.487,11.517,12.005,12.316
June,1,,13.076,12.766,,13.091,,,13.063,,13.042,12.608,12.729,12.361,12.781,12.665,12.431,12.779,12.096,12.494,12.29,12.638,12.857,12.316,12.456,12.239,12.386,11.965,12.019,11.868,12.029,12.164,12.139,11.795,11.829,12.111,12.24,12.052,11.568,11.015,11.754,11.44,11.36,11.431,11.853,12.052
,2,,,,13.059,,12.837,12.828,,12.567,,12.527,12.687,12.258,12.756,12.644,12.429,12.696,12.048,12.486,12.285,12.603,12.823,12.271,12.409,12.152,12.409,11.96,11.899,11.84,12.004,12.119,12.02,11.691,11.763,12.042,12.161,12.005,11.543,11.062,11.776,11.442,11.246,11.381,11.796,11.977
,3,,12.977,12.706,,12.99,,,12.935,,12.995,12.448,12.643,12.257,12.755,12.593,12.363,12.599,11.995,12.439,12.283,12.535,12.78,12.205,12.384,12.108,12.382,11.923,11.785,11.735,11.92,12.111,11.922,11.634,11.762,11.97,12.159,11.913,11.522,11.082,11.739,11.368,11.207,11.415,11.704,11.927
,4,,,,13.002,,12.764,12.644,,12.412,,12.451,12.638,12.16,12.707,12.59,12.375,12.575,11.987,12.419,12.219,12.463,12.752,12.151,12.35,12.077,12.354,11.914,11.736,11.627,11.867,11.984,11.909,11.57,11.748,11.975,12.13,11.85,11.396,11.058,11.636,11.291,11.136,11.366,11.634,11.814
,5,,12.832,12.614,,12.874,,,12.783,,12.866,12.454,12.641,12.145,12.667,12.461,12.342,12.543,11.969,12.39,12.23,12.443,12.728,12.108,12.291,12,12.228,11.862,11.705,11.624,11.817,11.869,11.884,11.495,11.624,11.883,12.087,11.724,11.362,11.031,11.6,11.26,11.127,11.291,11.532,11.689
,6,,,,12.954,,12.69,12.526,,12.26,,12.411,12.601,12.107,12.623,12.415,12.297,12.52,11.882,12.391,12.206,12.347,12.688,12.058,12.255,12.012,12.187,11.851,11.637,11.543,11.759,11.825,11.783,11.407,11.528,11.744,11.959,11.714,11.323,10.965,11.5,11.161,11.089,11.226,11.473,11.635
,7,,12.791,12.61,,12.834,,,12.731,,12.739,12.384,12.561,12.056,12.556,12.379,12.278,12.487,11.844,12.344,12.213,12.257,12.56,12.05,12.186,11.982,12.087,11.814,11.625,11.497,11.757,11.714,11.74,11.369,11.458,11.558,11.882,11.751,11.303,10.926,11.412,11.167,11.027,11.158,11.41,11.524
,8,,,,12.863,,12.59,12.439,,12.13,,12.336,12.541,12.002,12.526,12.382,12.254,12.383,11.84,12.311,12.248,12.195,12.466,11.984,12.121,11.924,12.024,11.807,11.53,11.45,11.826,11.632,11.676,11.254,11.333,11.376,11.862,11.709,11.313,10.93,11.341,11.102,10.979,11.063,11.356,11.476
,9,,12.854,12.586,,12.75,,,12.674,,12.677,12.211,12.506,11.952,12.425,12.353,12.248,12.301,11.753,12.26,12.2,12.232,12.345,11.996,12.073,11.894,12.029,11.769,11.53,11.403,11.702,11.578,11.632,11.162,11.326,11.205,11.854,11.665,11.249,10.91,11.294,11.079,10.962,10.932,11.311,11.393
,10,,,,12.721,,12.54,12.354,,12.191,,12.177,12.452,11.927,12.346,12.334,12.145,12.295,11.768,12.239,12.167,12.138,12.346,11.885,11.981,11.838,11.993,11.723,11.477,11.332,11.715,11.498,11.629,11.076,11.259,11.072,11.768,11.531,11.158,10.864,11.229,11.048,10.871,10.932,11.26,11.322
,11,,12.733,12.468,,12.709,,,12.475,,12.658,12.183,12.422,11.849,12.251,12.336,12.095,12.304,11.657,12.236,12.042,12.081,12.344,11.923,11.95,11.822,11.977,11.683,11.468,11.282,11.639,11.541,11.657,10.996,11.161,10.947,11.707,11.492,11.222,10.778,11.158,11.034,10.829,10.931,11.127,11.228
,12,,,,12.652,,12.412,12.294,,12.158,,12.116,12.455,11.773,12.271,12.32,12.097,12.239,11.656,12.203,12.01,12.037,12.254,11.84,11.848,11.77,11.942,11.688,11.456,11.258,11.607,11.478,11.671,10.906,11.011,10.838,11.619,11.401,11.148,10.767,11.071,11.002,10.788,10.925,11.024,11.144
,13,,12.673,12.278,,12.678,,,12.303,,12.553,12.048,12.414,11.765,12.263,12.275,12.024,12.133,11.583,12.199,11.974,11.935,12.188,11.815,11.719,11.738,11.802,11.616,11.369,11.212,11.561,11.414,11.624,10.89,10.956,10.747,11.524,11.323,11.087,10.741,10.971,10.972,10.903,10.815,10.988,11.108
,14,,,,12.487,,12.311,12.254,,11.999,,12.044,12.341,11.751,12.197,12.266,11.984,12.137,11.551,12.179,11.968,11.877,12.064,11.755,11.555,11.696,11.755,11.576,11.338,11.091,11.457,11.363,11.554,10.811,10.921,10.662,11.494,11.295,10.997,10.64,10.879,10.882,10.9,10.769,10.86,11.017
